TIME,Oy,Ox,Dy,Dx,Q,CITY
31200.0,117.63981,24.518521,118.079716,24.456132,1,1
31200.0,118.122111,24.431948,117.652043,24.504085,1,0
31222.0,118.18362,24.474061,117.706907,24.474766,1,0
31249.0,118.10924,24.485891,117.633363,24.52076,2,0
31259.0,118.124982,24.46969,117.634098,24.535697,1,0
31264.0,117.653093,24.500687,118.078107,24.452182,1,1
31311.0,118.045473,24.579135,117.720272,24.518069,1,0
31340.0,117.675211,24.520491,118.113165,24.488068,1,1
31369.0,118.111085,24.484843,117.633363,24.52076,2,0
31409.0,117.634098,24.535697,118.131853,24.498345,1,1
31450.0,118.117712,24.466308,117.670747,24.509165,1,0
31450.0,117.718821,24.50856,118.197852,24.521067,1,1
31476.0,118.050751,24.491948,117.664716,24.503265,1,0
31500.0,117.693721,24.497123,118.049332,24.491135,1,1
31515.0,117.634098,24.535697,118.131853,24.498345,1,1
31640.0,117.692301,24.502044,118.142244,24.53721,1,1
31706.0,117.712157,24.509003,118.247787,24.59155,1,1
31708.0,117.673948,24.492102,118.04997,24.504593,1,1
31800.0,118.142244,24.53721,117.633016,24.507653,1,0
31800.0,117.723398,24.500384,118.103641,24.468817,1,1
31800.0,117.687229,24.50413,118.186824,24.528969,1,1
31800.0,118.152323,24.542164,117.658294,24.490172,1,0
31800.0,117.677984,24.502078,118.130314,24.422637,1,1
31800.0,117.669263,24.493516,118.098476,24.507076,1,1
31800.0,117.687229,24.50413,118.186824,24.528969,1,1
31885.0,117.716534,24.508698,118.195571,24.501165,1,1
31937.0,118.128955,24.480721,117.66557,24.495523,1,0
32029.0,118.123681,24.513486,117.672688,24.511483,1,0
32030.0,117.667304,24.508209,118.096273,24.44244,1,1
32052.0,118.121165,24.466557,117.692231,24.508741,1,0
32178.0,118.118309,24.48878,117.682608,24.494727,1,0
32178.0,118.09816,24.443244,117.715917,24.518899,1,0
32198.0,118.174377,24.464673,117.674046,24.507474,1,0
32400.0,117.653031,24.53129,118.079822,24.478181,2,1
32400.0,117.682608,24.494727,118.142244,24.53721,1,1
32400.0,117.634099,24.535697,118.136128,24.531814,1,1
32400.0,117.638066,24.505287,118.032295,24.476601,1,1
32400.0,118.148723,24.471852,117.643575,24.505501,1,0
32400.0,117.679271,24.499712,118.122607,24.495519,1,1
32400.0,118.103272,24.457746,117.740901,24.491671,2,0
32400.0,117.635627,24.52178,118.100901,24.501976,1,1
32400.0,118.077912,24.461998,117.641823,24.53434,1,0
32400.0,117.67139,24.523609,118.142244,24.53721,1,1
32400.0,118.086895,24.457102,117.734833,24.51989,1,0
32400.0,117.677983,24.507422,118.163493,24.478826,1,1
32400.0,117.704014,24.50487,118.136128,24.531814,1,1
32400.0,118.194044,24.494087,117.664017,24.508308,1,0
32400.0,117.651661,24.503924,118.182338,24.67853,1,1
32400.0,117.71513,24.508317,118.152738,24.541455,1,1
32400.0,118.093003,24.437703,117.672379,24.515524,1,0
32400.0,117.628239,24.520684,118.164298,24.511931,1,1
32400.0,117.653851,24.535001,118.117366,24.485643,2,1
32400.0,118.056767,24.557898,117.641333,24.515154,1,0
32400.0,117.638198,24.520527,118.044726,24.554943,1,1
32400.0,118.110478,24.487593,117.734093,24.501383,1,0
32400.0,118.14657,24.432249,117.665504,24.495573,1,0
32400.0,117.656906,24.499051,118.082965,24.457748,1,1
32486.0,118.196536,24.493295,117.658522,24.504574,1,0
32498.0,118.147895,24.49982,117.680153,24.496893,1,0
