,TIME,Oy,Ox,Dy,Dx,Q,CITY
527,32400.0,118.096337,25.177581,118.118731,24.46729,1,1
516,32400.0,118.239246,25.075319,118.152321,24.542165,1,1
541,32400.0,118.106684,24.583267,118.007457,25.009533,1,0
520,32400.0,118.221527,25.075539,118.079729,24.632559,3,1
514,32400.0,118.221809,25.069982,118.110401,24.48544,1,1
521,32400.0,118.145088,24.611298,118.199517,25.055394,1,0
509,32400.0,118.101777,25.017685,118.118818,24.468888,1,1
513,32400.0,118.1962,25.03829,118.079019,24.633511,1,1
525,32400.0,118.104406,25.191205,117.966331,24.530534,1,1
522,32400.0,118.108049,24.502308,118.192496,25.036518,1,0
526,32400.0,118.098545,24.502877,118.194032,25.0457,1,0
543,32400.0,118.176256,24.486573,118.191254,25.043797,2,0
518,32400.0,118.077811,24.945326,118.136128,24.531814,1,1
557,32400.0,118.1969,25.060284,118.100031,24.502919,1,1
548,32400.0,118.199765,25.040805,118.07973,24.632559,1,1
528,32400.0,118.100111,24.506598,118.125589,25.164796,1,0
537,32400.0,118.200469,24.492581,118.190661,25.052534,1,0
556,32400.0,118.193293,25.036289,118.059995,24.579564,1,1
545,32400.0,118.17424,24.465208,118.190907,25.045995,1,0
533,32400.0,118.161537,25.046444,118.15273,24.490617,2,1
508,32400.0,118.101835,25.017311,118.112348,24.462846,1,1
552,32400.0,118.004167,25.001268,118.152725,24.488889,1,1
512,32400.0,118.091766,24.495614,118.181414,25.048515,1,0
506,32400.0,118.21163,25.054355,118.25775,24.607291,2,1
558,32404.0,118.157892,24.490126,118.202159,25.05321,1,0
560,32476.0,118.077768,24.945345,118.136128,24.531814,1,1
561,32480.0,118.193939,25.05906,118.165986,24.470091,1,1
562,32508.0,118.145147,24.476055,118.100782,25.018568,1,0
563,32521.0,118.194578,25.04558,118.150628,24.501311,2,1
565,32598.0,118.156139,24.521835,118.225947,25.066948,1,0
569,32767.0,118.143651,24.489209,118.200123,25.045425,1,0
571,32788.0,118.240269,25.076221,118.131248,24.466015,1,1
579,33000.0,118.098743,24.502894,118.196624,25.061853,1,0
583,33053.0,118.146397,24.492869,118.214154,25.059404,1,0
587,33124.0,118.211852,25.060819,118.094685,24.581704,1,1
588,33219.0,118.198735,25.06182,118.023165,24.585356,1,1
590,33283.0,118.143373,24.489629,117.947583,25.021696,1,0
592,33351.0,118.060643,25.013731,118.145832,24.513849,1,1
593,33376.0,118.099736,24.467656,118.093403,25.018579,1,0
595,33419.0,118.115079,24.5037,118.049017,25.240557,1,0
596,33436.0,118.052457,25.238934,118.066752,24.559543,2,1
597,33542.0,118.050254,25.233662,118.13387,24.508447,1,1
598,33573.0,118.143655,24.52636,118.194251,25.039292,1,0
606,33600.0,118.173274,24.489514,118.015501,25.025718,1,0
604,33600.0,117.950248,25.019591,118.108251,24.502718,1,1
605,33600.0,118.240067,25.076362,118.142242,24.537209,2,1
602,33600.0,118.189569,25.05084,118.079019,24.633511,1,1
600,33600.0,118.098575,24.464811,117.954153,25.017832,1,0
603,33600.0,118.177489,24.463736,118.20399,25.049701,1,0
608,33605.0,118.052286,24.566925,118.005222,25.007856,2,0
609,33682.0,118.161922,25.068551,118.087968,24.452899,1,1
610,33692.0,118.19321,25.037201,118.06751,24.591783,1,1
611,33756.0,118.052286,24.566925,118.005222,25.007856,2,0
612,33798.0,118.113293,24.525589,118.167792,25.078593,1,0
613,33800.0,118.100068,24.50564,118.024052,25.016099,1,0
614,33863.0,118.197527,25.050063,118.127594,24.503651,1,1
616,33968.0,118.194537,25.05443,118.171397,24.51723,1,1
617,34057.0,118.150462,24.489543,118.17397,25.074792,1,0
618,34147.0,118.085987,24.476094,117.951246,25.015544,1,0
632,34200.0,118.152667,25.052499,118.136412,24.495791,1,1
630,34200.0,118.145728,24.497794,118.205683,25.066027,1,0
639,34200.0,118.208192,25.046887,118.104057,24.570536,1,1
650,34200.0,118.1918,25.056076,118.151735,24.516587,2,1
631,34200.0,118.117491,24.609694,118.175602,25.058166,1,0
645,34200.0,118.102982,24.577766,118.192885,25.056184,1,0
649,34200.0,118.240235,25.07637,118.142242,24.537209,2,1
638,34200.0,118.171225,25.079305,118.113451,24.603061,1,1
626,34200.0,118.167518,24.535259,118.222633,25.051622,1,0
637,34200.0,118.192664,25.040396,118.152323,24.542164,2,1
647,34200.0,118.19659,25.038071,118.079019,24.633511,1,1
634,34200.0,118.180399,24.467243,118.200722,25.041284,1,0
644,34200.0,118.182676,25.05586,118.151184,24.476001,1,1
633,34200.0,118.179994,24.499965,118.058173,25.230352,1,0
622,34200.0,118.075133,24.64045,118.176464,25.062598,1,0
641,34200.0,118.004689,25.004032,118.131853,24.498345,1,1
619,34200.0,118.171319,25.079233,118.113451,24.603061,1,1
652,34202.0,118.086394,24.447581,118.190137,25.045755,1,0
654,34281.0,118.078222,24.600199,118.164752,25.066028,1,0
655,34293.0,118.086912,24.44764,118.159962,25.056085,2,0
656,34311.0,118.184463,24.469862,118.175247,25.057292,1,0
657,34321.0,118.239942,25.076832,118.111129,24.464235,2,1
